company,contact_name,contact_title,linkedin_url,language,pain_point,source,probability,revenue_eur,tier,message_subject,email_template_ready
HUSTLER MARKETING,Bostjan Belingar,CEO & Founder,/in/bostjan-belingar-96aa3a102/,EN,Clients ont échoué sur deliverability,Google + Klaviyo Partners,85%,900,1,Hustler Marketing - 24H subdomain capacity for deliverability challenges,YES
BELKINS,Michael Maximoff,Co-founder,/in/michael-maximoff/,EN,Active hiring deliverability specialist,LinkedIn Jobs + Company research,75%,650,1,Belkins - Subdomain capacity during deliverability specialist search,YES
EMAIL EXPERTS,Decision maker TBD,Decision maker,connect.klaviyo.com/email-experts,EN,Data-driven email marketing volume needs,Klaviyo Partners directory,80%,750,1,Email Experts - Scaling subdomains for data-driven campaigns,YES
BOUNDLESS LABS,Decision maker TBD,Decision maker,,EN,Volume énorme deliverability risks critiques,Klaviyo Partners directory,85%,1200,1,Boundless Labs - Infrastructure for your 50M email volume,YES
INBOXARMY,Decision maker TBD,Decision maker,,EN,Multi-platform complex isolation needs,Multiple directories validation,75%,850,1,InboxArmy - Cross-platform subdomain solutions,YES
O8 AGENCY,Decision maker TBD,Decision maker,,EN,Global operations timezone complexity,HubSpot Partners directory,70%,700,1,O8 Agency - Global subdomain infrastructure for multi-continent ops,YES
OUTERBOX,Decision maker TBD,Decision maker,,EN,Legacy experience processes need upgrade,HubSpot Partners directory,75%,650,1,OuterBox - Next-gen subdomain solutions for 20+ years expertise,YES
SPEAR MARKETING,Decision maker TBD,Decision maker,,EN,Lead Management Strategy complex workflows,Marketo Partners directory,70%,700,1,Spear Marketing - Strategic subdomain architecture for lead management,YES
DIDO AGENCY,Decision maker TBD,Decision maker,,EN,Bold promises need reliable infrastructure,Klaviyo Partners directory,60%,500,2,DIDO Agency - Reliable infrastructure for revenue promises,YES
SOUP AGENCY,Decision maker TBD,Decision maker,,EN,Automation complexity needs testing isolation,HubSpot Partners directory,60%,450,2,SOUP Agency - Test environments for HubSpot automation,YES
WESTFIELD CREATIVE,Decision maker TBD,Decision maker,,EN,Top 10 status high client expectations,Mailchimp Partners directory,65%,400,2,Westfield Creative - Infrastructure for Top 10 Mailchimp Partner status,YES
ORACLE,Hiring Manager,Hiring Manager,,EN,Recrutement actif Deliverability Specialist Eloqua Responsys,LinkedIn Jobs,75%,1500,CRISIS,Oracle Eloqua Responsys - Emergency subdomain capacity during specialist search,YES
ZETA GLOBAL,Senior Hiring Manager,Senior Hiring Manager,,EN,Senior Deliverability Specialist search client issues,LinkedIn Jobs,70%,1200,CRISIS,Zeta Global - Client subdomain solutions during senior specialist search,YES
ISPEEDTOLEAD,CEO/CTO,Decision maker,,EN,Remote deliverability specialist hiring infrastructure stress,LinkedIn Jobs,65%,800,CRISIS,IspeedToLead - Emergency subdomain capacity during remote specialist hire,YES
SMARTSITES,Decision maker TBD,Decision maker,,EN,Standard operations optimization opportunity,Mailchimp Partners directory,40%,300,3,SmartSites - Subdomain solutions for enhanced operations,NO
COLLABORADA,Decision maker TBD,Decision maker,,EN,Long-term experience process optimization,Mailchimp Partners directory,45%,350,3,Collaborada - Process optimization with dedicated subdomains,NO
